node,row_idx,is_train,is_test,is_clean,L_i_r_db,state_idx,A_hat_r_db
Node2-Bogota,58,True,False,True,-20.027158737182617,4,-0.2225930700006411
Node2-Bogota,59,True,False,True,-20.37993335723877,3,0.10615283481834471
Node2-Bogota,60,True,False,True,-20.6376953125,2,0.2253384608630986
Node2-Bogota,61,True,False,True,-20.96428680419922,1,0.04716406358304874
Node2-Bogota,62,True,False,True,-19.72068691253662,5,-0.24242407868998922
Node2-Bogota,63,True,False,True,-19.999584197998047,4,-0.2225930700006411
Node2-Bogota,64,True,False,True,-21.343841552734375,0,0.10935112210207208
Node2-Bogota,65,True,False,True,-20.756165504455566,2,0.2253384608630986
Node2-Bogota,66,True,False,True,-20.545080184936523,3,0.10615283481834471
Node2-Bogota,67,True,False,False,-20.64320468902588,2,0.2253384608630986
Node2-Bogota,68,True,False,True,-20.70212459564209,2,0.2253384608630986
Node2-Bogota,69,True,False,True,-20.34908676147461,3,0.10615283481834471
Node2-Bogota,70,True,False,True,-20.799023628234863,1,0.04716406358304874
Node2-Bogota,71,True,False,True,-20.70683765411377,2,0.2253384608630986
Node2-Bogota,72,True,False,True,-21.014491081237793,1,0.04716406358304874
Node2-Bogota,73,False,True,True,-22.079916954040527,0,0.10935112210207208
Node2-Bogota,74,False,True,True,-20.8927059173584,1,0.04716406358304874
Node2-Bogota,75,False,True,True,-20.94229030609131,1,0.04716406358304874
Node2-Bogota,76,False,True,True,-20.99824810028076,1,0.04716406358304874
Node2-Bogota,77,False,True,True,-21.027973175048828,1,0.04716406358304874
Node2-Bogota,78,False,True,True,-20.865849494934082,1,0.04716406358304874
Node2-Bogota,79,False,True,True,-20.61538600921631,2,0.2253384608630986
Node2-Bogota,80,False,True,True,-20.671854972839355,2,0.2253384608630986
Node2-Bogota,81,False,True,True,-20.808401107788086,1,0.04716406358304874
Node2-Bogota,82,False,True,True,-20.146759033203125,4,-0.2225930700006411
Node2-Bogota,83,False,True,True,-20.780099868774414,1,0.04716406358304874
Node2-Bogota,84,False,True,True,-20.671422004699707,2,0.2253384608630986
Node2-Bogota,85,False,True,True,-20.827375411987305,1,0.04716406358304874
Node2-Bogota,86,False,True,True,-19.987550735473633,4,-0.2225930700006411
Node2-Bogota,87,False,True,True,-20.27231788635254,3,0.10615283481834471
Node2-Bogota,88,False,True,True,-20.82025718688965,1,0.04716406358304874
Node2-Bogota,89,False,True,True,-20.88975238800049,1,0.04716406358304874
Node2-Bogota,90,False,True,True,-20.64768409729004,2,0.2253384608630986
Node2-Bogota,91,False,True,True,-21.21715259552002,0,0.10935112210207208
Node2-Bogota,92,False,True,True,-21.662693977355957,0,0.10935112210207208
Node2-Bogota,93,False,True,True,-20.38727855682373,3,0.10615283481834471
Node2-Bogota,94,False,True,True,-20.704262733459473,2,0.2253384608630986
Node2-Bogota,95,False,True,True,-20.135055541992188,4,-0.2225930700006411
Node2-Bogota,96,False,True,True,-20.720006942749023,2,0.2253384608630986
Node2-Bogota,97,False,True,True,-21.037470817565918,1,0.04716406358304874
Node2-Bogota,98,False,True,True,-19.0526180267334,5,-0.24242407868998922
Node2-Bogota,99,False,True,True,-20.473849296569824,3,0.10615283481834471
Node2-Bogota,100,False,True,True,-21.021574020385742,1,0.04716406358304874
Node2-Bogota,101,False,True,True,-20.917518615722656,1,0.04716406358304874
Node2-Bogota,102,False,True,True,-20.769981384277344,2,0.2253384608630986
Node2-Bogota,103,False,True,True,-20.464879989624023,3,0.10615283481834471
Node2-Bogota,104,False,True,True,-20.297195434570312,3,0.10615283481834471
Node3-Bogota,0,True,False,True,-20.093706130981445,1,-0.08707461246224332
Node3-Bogota,1,True,False,True,-20.351369857788086,0,0.11247139198835507
Node3-Bogota,2,True,False,True,-20.06934356689453,2,-0.15882992189983997
Node3-Bogota,3,True,False,True,-19.58091926574707,5,0.08475904686506402
Node3-Bogota,4,True,False,True,-19.442827224731445,5,0.08475904686506402
Node3-Bogota,5,True,False,True,-19.821550369262695,3,0.014124203097912708
Node3-Bogota,6,True,False,True,-19.734729766845703,4,-0.08581152627634447
Node3-Bogota,7,True,False,True,-19.750362396240234,4,-0.08581152627634447
Node3-Bogota,8,True,False,True,-19.54872703552246,5,0.08475904686506402
Node3-Bogota,9,True,False,True,-19.7352352142334,4,-0.08581152627634447
Node3-Bogota,10,True,False,True,-19.799711227416992,4,-0.08581152627634447
Node3-Bogota,11,True,False,True,-18.73932456970215,5,0.08475904686506402
Node3-Bogota,12,True,False,True,-18.896299362182617,5,0.08475904686506402
Node3-Bogota,13,True,False,True,-19.92366313934326,3,0.014124203097912708
Node3-Bogota,14,True,False,True,-20.03952693939209,2,-0.15882992189983997
Node3-Bogota,15,True,False,True,-19.99277400970459,2,-0.15882992189983997
Node3-Bogota,16,True,False,True,-19.715974807739258,4,-0.08581152627634447
Node3-Bogota,17,True,False,True,-19.680636405944824,4,-0.08581152627634447
Node3-Bogota,18,True,False,True,-19.979907989501953,3,0.014124203097912708
Node3-Bogota,19,True,False,True,-19.256258964538574,5,0.08475904686506402
Node3-Bogota,20,True,False,True,-19.759552001953125,4,-0.08581152627634447
Node3-Bogota,21,True,False,True,-19.605998992919922,5,0.08475904686506402
Node3-Bogota,22,True,False,True,-20.03671646118164,2,-0.15882992189983997
Node3-Bogota,23,True,False,True,-20.05137825012207,2,-0.15882992189983997
Node3-Bogota,24,True,False,True,-20.03415298461914,2,-0.15882992189983997
Node3-Bogota,25,True,False,True,-19.937005043029785,3,0.014124203097912708
Node3-Bogota,26,True,False,True,-19.850255012512207,3,0.014124203097912708
Node3-Bogota,27,True,False,True,-19.473995208740234,5,0.08475904686506402
Node3-Bogota,28,True,False,True,-20.089743614196777,1,-0.08707461246224332
Node3-Bogota,29,True,False,True,-20.133241653442383,1,-0.08707461246224332
Node3-Bogota,30,True,False,True,-19.39793109893799,5,0.08475904686506402
Node3-Bogota,31,True,False,True,-19.751358032226562,4,-0.08581152627634447
Node3-Bogota,32,True,False,True,-19.786218643188477,4,-0.08581152627634447
Node3-Bogota,33,True,False,True,-20.074458122253418,1,-0.08707461246224332
Node3-Bogota,34,True,False,True,-19.92722511291504,3,0.014124203097912708
Node3-Bogota,35,True,False,True,-19.723915100097656,4,-0.08581152627634447
Node3-Bogota,36,True,False,True,-19.844046592712402,3,0.014124203097912708
Node3-Bogota,37,True,False,True,-20.02065372467041,2,-0.15882992189983997
Node3-Bogota,38,True,False,True,-20.10597324371338,1,-0.08707461246224332
Node3-Bogota,39,True,False,True,-19.34562873840332,5,0.08475904686506402
